주차장관리번호,주차장명,위도,경도
305-1-000001,한옥마을노상,35.8192494,127.1536612
305-2-000001,오거리,35.8212653,127.1452081
305-2-000002,삼천2동,35.7966589,127.1217302
305-2-000003,중화산2동,35.817318,127.1152471
305-2-000004,서신동,35.8316316,127.1150008
305-2-000005,다은병원,35.8151348,127.1107034
305-2-000006,KB은행,35.8151391,127.1072652
305-2-000007,농협중앙회,35.8175961,127.1072698
305-2-000008,도청옆,35.8175927,127.1107081
305-2-000009,노송천,35.827189,127.1426058
305-2-000010,모악산,35.7578572,127.0867299
305-2-000011,근영여고 앞,35.8167412,127.1237455
305-2-000012,이중본 뒤,35.813118,127.1211573
305-2-000013,신일강변APT옆,35.7990597,127.1135843
305-2-000014,색장동 만남의광장,35.7882897,127.1935773
305-2-000015,태평동,35.8225845,127.1372204
305-2-000016,남노송동,35.8211081,127.1547238
305-2-000017,서부신시가지 봉곡,35.8130791,127.1012709
305-2-000018,서부신시가지 마전,35.8273533,127.1051684
305-2-000019,서부신시가지 산마을오리정,35.8215631,127.1028419
305-2-000020,서부신시가지 보훈청,35.8151419,127.1034066
305-2-000021,서부신시가지 신한은행,35.8164396,127.1047077
305-2-000022,서부신시가지 롯데마트뒤,35.818205,127.1035924
305-2-000023,서부신시가지 도청사거리,35.8196978,127.1047121
305-2-000024,서부신시가지 엘드@,35.8131047,127.1102845
305-2-000025,서부신시가지 전주대원룸옆,35.813102,127.0949545
305-2-000026,서부신시가지 서곡방면,35.8282781,127.0979387
305-2-000027,서부신시가지 예다움원룸,35.8204898,127.0958844
305-2-000028,서부신시가지 전주대신정문,35.8175481,127.0968661
305-2-000029,서부신시가지 KBS옆,35.8204223,127.1035962
305-2-000030,서부신시가지 전북경찰청옆,35.8244897,127.1028455
305-2-000031,서부신시가지 여명교회뒤,35.8214503,127.1012507
305-2-000032,정읍.고창방면 만남의광장,35.8017602,127.0921126
305-2-000033,서신동 서신지구대,35.8353356,127.1116546
305-2-000034,고사동 전주영화제작소,35.8179716,127.1428908
305-2-000035,서서학동 주민자치센터,35.8055447,127.1490223
305-2-000036,서신동 에덴교회,35.8359958,127.1090384
305-2-000037,한옥마을 치명자산성지 옆,35.8034501,127.1674399
305-2-000038,남노송동 병무청,35.8203853,127.153575
305-2-000039,평화2동,35.7959366,127.1361213
305-2-000040,홍산라이브광장,35.8165527,127.107681
305-2-000041,전주비보이광장,35.816549,127.1103468
305-2-000042,중화산동,35.8201705,127.1129161
305-3-000001,한옥마을1,35.8192494,127.1536612
305-3-000002,한옥마을2,35.8183037,127.1528689
305-3-000003,화산체육관,35.8195981,127.120609
305-3-000004,완산수영장,35.80262,127.1060566
306-2-000001,덕진광장,35.8443485,127.1245334
306-2-000002,건산천1,35.8318605,127.1348123
306-2-000003,건산천2,35.8328661,127.1347648
306-2-000004,가련산,35.8454756,127.1197931
306-2-000005,아중지구 롯데APT옆,35.8315595,127.1706162
306-2-000006,아중지구 부영APT옆,35.8258521,127.1718698
306-2-000007,아중지구 밀레니엄 옆,35.8312555,127.1725275
306-2-000008,아중지구 산림청 옆,35.8258534,127.1628145
306-2-000009,호성동 만남의광장,35.8674296,127.1475595
306-2-000010,우아1동 공영주차장,35.8493129,127.1573228
306-2-000011,무진장방면 만남의광장,35.8425339,127.1763943
306-2-000012,군산익산 만남의광장,35.8750522,127.0566808
306-2-000013,인후3동 진버들,35.8358031,127.1646603
306-2-000014,인후1동안골,35.8356003,127.155626
306-2-000015,인후2동금평,35.8429806,127.1454811
306-2-000016,인후2동건지,35.8466298,127.1483766
306-2-000017,우아2동 아중택지개발지구,35.8378778,127.1684086
306-2-000018,우아1동 홈플러스 뒤,35.8488146,127.1551538
306-2-000019,하가지구 리드빌딩,35.8451734,127.1129222
306-2-000020,하가지구 소소빌딩뒤,35.8451734,127.1129222
306-2-000021,송천1동 송천도서관,35.8687504,127.1276424
306-2-000022,송천2동 주민자치센터,35.8648566,127.1150546
306-2-000023,송천2동 용소초교,35.8612353,127.1177665
306-2-000024,송천2동공원,35.8647526,127.1181959
306-2-000025,하가지구 하가홈마트 뒤,35.845357,127.1207252
306-2-000026,하가지구 초담불고기 뒤,35.845357,127.1207252
306-2-000027,하가지구 풍경안경원 옆,35.845357,127.1207252
306-2-000028,하가지구 나그네교회 앞,35.8534222,127.131652
306-2-000029,인후공원,35.8430448,127.1631852
306-2-000030,송천2동 시영아파트 옆,35.8688281,127.1079047
306-2-000031,인후2동 용수마을,35.8415686,127.1495975
306-2-000032,팔복동,35.8558502,127.1030471
306-3-000001,종합경기장,35.8446227,127.1243542
306-3-000002,실내체육관,35.844182,127.1292776
306-3-000003,동물원,35.8544702,127.1429233
306-3-000004,월드컵경기장,35.8680573,127.0645192
306-3-000005,덕진공원,35.8480368,127.1222124
